Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As,Winner
"16.10.2022, 17:30",GKS Katowice,Barkom Każany Lwów,3,2,72.0,21.0,22.0,107.0,23,6.0,-13%,85.0,4.0,43%,21%,113,13.0,10.0,58.0,51%,30%,8.0,6,65,20,20,106,21,4,-13%,84,6,40%,26%,105,10,8,51,48%,31%,10,8,0
"15.10.2022, 17:30",Ślepsk Malow Suwałki,Projekt Warszawa,3,1,74.0,32.0,30.0,107.0,22,9.0,-6%,75.0,10.0,52%,22%,110,7.0,5.0,53.0,48%,37%,12.0,9,65,21,11,100,25,10,-11%,85,9,54%,28%,112,8,12,50,44%,26%,5,9,0
"15.10.2022, 20:30",Cuprum Lubin,Asseco Resovia,0,3,50.0,16.0,8.0,67.0,21,7.0,-17%,67.0,6.0,32%,16%,80,7.0,8.0,39.0,48%,30%,4.0,4,50,26,24,78,11,6,0%,46,7,52%,28%,60,4,4,36,60%,46%,8,7,1
"15.10.2022, 14:45",PGE Skra Bełchatów,Trefl Gdańsk,3,1,65.0,26.0,29.0,96.0,15,5.0,-4%,71.0,6.0,42%,14%,102,9.0,6.0,52.0,50%,36%,8.0,12,62,22,23,87,16,6,-9%,81,5,53%,29%,110,10,8,50,45%,29%,6,7,0
"14.10.2022, 20:30",Czarni Radom,Stal Nysa,1,3,71.0,25.0,28.0,94.0,14,7.0,-3%,82.0,5.0,47%,29%,121,12.0,12.0,57.0,47%,27%,7.0,11,69,24,36,95,13,5,-6%,80,7,33%,12%,101,6,7,52,51%,38%,12,4,1
"13.10.2022, 17:30",ZAKSA Kędzierzyn-Koźle,BBTS Bielsko-Biała,3,0,53.0,20.0,34.0,73.0,7,4.0,0%,52.0,7.0,48%,21%,69,3.0,2.0,39.0,56%,49%,10.0,5,48,14,13,63,11,7,-4%,66,4,34%,18%,87,10,10,39,44%,21%,2,8,0
"16.10.2022, 14:45",Jastrzębski Węgiel,Warta Zawiercie,3,0,57.0,25.0,32.0,74.0,8,6.0,2%,49.0,5.0,51%,20%,81,5.0,7.0,44.0,54%,39%,7.0,12,43,11,15,61,12,5,-11%,66,6,33%,13%,74,3,7,31,41%,28%,7,4,0
"14.10.2022, 17:30",AZS Olsztyn,LUK  Lublin,3,1,69.0,29.0,31.0,94.0,19,6.0,-10%,65.0,6.0,36%,20%,97,7.0,6.0,54.0,55%,42%,9.0,13,52,17,14,80,15,6,-3%,75,6,42%,16%,93,8,9,40,43%,24%,6,7,0
"22.10.2022, 20:30",LUK  Lublin,GKS Katowice,2,3,69.0,16.0,31.0,101.0,18,6.0,-9%,88.0,4.0,57%,18%,114,8.0,8.0,58.0,50%,36%,5.0,8,80,22,42,110,22,4,-12%,83,6,38%,14%,106,5,5,68,64%,54%,8,11,1
"22.10.2022, 17:30",Warta Zawiercie,AZS Olsztyn,2,3,69.0,24.0,19.0,110.0,25,8.0,-12%,79.0,9.0,44%,17%,111,5.0,11.0,55.0,49%,35%,6.0,9,75,26,25,105,26,9,-14%,85,8,43%,11%,109,10,6,55,50%,35%,11,11,1
"21.10.2022, 17:30",BBTS Bielsko-Biała,Jastrzębski Węgiel,0,3,39.0,15.0,13.0,59.0,9,2.0,-10%,61.0,8.0,34%,16%,76,3.0,6.0,32.0,42%,30%,5.0,4,61,31,38,73,12,8,0%,50,2,54%,20%,84,4,5,47,55%,45%,6,6,1
"21.10.2022, 20:30",Stal Nysa,ZAKSA Kędzierzyn-Koźle,3,0,51.0,20.0,23.0,73.0,16,5.0,-10%,48.0,1.0,47%,14%,71,3.0,8.0,36.0,50%,35%,10.0,3,41,12,2,65,17,1,-24%,57,5,45%,17%,71,7,10,32,45%,21%,8,7,0
"24.10.2022, 17:30",Trefl Gdańsk,Czarni Radom,3,0,54.0,24.0,26.0,73.0,12,5.0,-4%,53.0,2.0,47%,26%,91,5.0,9.0,38.0,41%,26%,11.0,10,45,16,9,64,11,2,-9%,61,5,50%,13%,93,9,11,34,36%,15%,9,15,0
"22.10.2022, 14:45",PGE Skra Bełchatów,Asseco Resovia,2,3,78.0,32.0,38.0,98.0,19,12.0,-1%,84.0,10.0,35%,19%,105,4.0,7.0,56.0,53%,42%,10.0,10,74,32,35,100,16,10,3%,79,12,37%,20%,112,1,10,57,50%,41%,7,9,1
"23.10.2022, 17:30",Projekt Warszawa,Cuprum Lubin,3,1,66.0,28.0,35.0,97.0,15,5.0,-6%,63.0,5.0,41%,14%,91,4.0,7.0,46.0,50%,38%,15.0,10,62,17,13,85,22,5,-16%,82,5,42%,18%,115,7,15,50,43%,24%,7,14,0
"23.10.2022, 14:45",Barkom Każany Lwów,Ślepsk Malow Suwałki,1,3,60.0,20.0,14.0,82.0,18,3.0,-12%,80.0,10.0,42%,25%,107,9.0,9.0,50.0,46%,29%,7.0,2,66,31,37,94,14,10,-2%,64,3,31%,17%,89,5,7,47,52%,39%,9,4,1
"28.10.2022, 17:30",GKS Katowice,Ślepsk Malow Suwałki,3,2,76.0,30.0,34.0,108.0,17,3.0,-9%,80.0,5.0,46%,20%,133,13.0,7.0,63.0,47%,32%,10.0,16,65,19,24,98,18,5,-10%,91,3,53%,24%,129,10,10,53,41%,25%,7,11,0
"28.10.2022, 20:30",Cuprum Lubin,Barkom Każany Lwów,3,2,79.0,35.0,41.0,104.0,24,15.0,0%,71.0,4.0,40%,22%,109,4.0,6.0,59.0,54%,44%,5.0,8,60,21,16,90,19,4,-13%,80,15,37%,20%,99,5,5,50,50%,40%,6,14,0
"29.10.2022, 14:45",PGE Skra Bełchatów,Projekt Warszawa,0,3,37.0,12.0,2.0,53.0,9,2.0,-9%,62.0,10.0,32%,16%,64,9.0,7.0,29.0,45%,20%,6.0,2,56,26,35,73,11,10,1%,44,2,45%,27%,64,2,6,39,60%,48%,7,2,1
"29.10.2022, 20:30",Czarni Radom,Asseco Resovia,0,3,42.0,13.0,0.0,58.0,16,3.0,-20%,63.0,9.0,41%,22%,75,8.0,9.0,30.0,40%,17%,9.0,4,50,24,23,74,11,9,-2%,42,3,52%,33%,62,4,9,32,51%,30%,9,9,1
"30.10.2022, 14:45",ZAKSA Kędzierzyn-Koźle,Trefl Gdańsk,3,0,50.0,22.0,26.0,73.0,11,6.0,0%,44.0,5.0,47%,25%,66,2.0,6.0,33.0,50%,37%,11.0,9,44,13,3,59,15,5,-15%,62,6,46%,17%,80,9,11,33,41%,16%,6,6,0
"30.10.2022, 17:30",Stal Nysa,Jastrzębski Węgiel,0,3,36.0,7.0,7.0,54.0,12,0.0,-16%,60.0,8.0,38%,21%,75,4.0,5.0,34.0,45%,33%,2.0,8,55,25,37,74,14,8,-4%,42,0,45%,16%,74,2,2,42,56%,51%,5,8,1
"29.10.2022, 17:30",AZS Olsztyn,BBTS Bielsko-Biała,3,0,53.0,26.0,36.0,74.0,10,9.0,4%,40.0,1.0,42%,17%,56,4.0,2.0,38.0,67%,57%,6.0,3,33,6,-4,51,11,1,-13%,64,9,35%,15%,75,11,6,30,40%,17%,2,4,0
"30.10.2022, 20:30",LUK  Lublin,Warta Zawiercie,2,3,83.0,29.0,27.0,103.0,26,9.0,-12%,90.0,7.0,52%,20%,121,9.0,14.0,59.0,48%,29%,15.0,7,64,26,23,100,10,7,-2%,77,9,37%,25%,100,7,15,43,43%,21%,14,15,1
"03.11.2022, 16:30",Warta Zawiercie,GKS Katowice,3,0,59.0,24.0,33.0,77.0,18,8.0,-10%,53.0,1.0,52%,26%,86,2.0,5.0,46.0,53%,45%,5.0,7,44,12,11,68,15,1,-16%,59,8,37%,11%,85,5,5,38,44%,32%,5,12,0
"03.11.2022, 18:45",BBTS Bielsko-Biała,LUK  Lublin,1,3,70.0,21.0,35.0,91.0,16,4.0,-9%,82.0,6.0,46%,17%,107,4.0,9.0,55.0,51%,39%,11.0,10,76,28,42,98,16,6,-6%,75,4,42%,10%,114,3,11,61,53%,41%,9,11,1
"02.11.2022, 16:30",Stal Nysa,AZS Olsztyn,3,0,57.0,26.0,36.0,74.0,14,6.0,-6%,50.0,1.0,46%,20%,71,2.0,4.0,40.0,56%,47%,11.0,6,43,15,10,60,10,1,-8%,60,6,36%,11%,81,6,11,38,46%,25%,4,11,0
"02.11.2022, 18:45",Trefl Gdańsk,Jastrzębski Węgiel,0,3,39.0,13.0,3.0,56.0,14,3.0,-10%,63.0,6.0,41%,17%,77,6.0,10.0,33.0,42%,22%,3.0,8,54,31,35,73,10,6,1%,42,3,47%,9%,78,3,3,38,48%,41%,10,8,1
"02.11.2022, 21:00",Asseco Resovia,ZAKSA Kędzierzyn-Koźle,3,0,63.0,27.0,31.0,79.0,13,5.0,-2%,61.0,5.0,50%,21%,85,4.0,10.0,46.0,54%,37%,12.0,7,51,21,19,71,10,5,-1%,66,5,30%,15%,75,5,12,36,48%,25%,10,11,0
"01.11.2022, 21:00",Projekt Warszawa,Czarni Radom,3,0,50.0,16.0,22.0,76.0,13,5.0,-7%,54.0,3.0,51%,24%,78,7.0,5.0,41.0,52%,37%,4.0,11,44,12,11,67,13,3,-10%,63,5,60%,31%,92,11,4,36,39%,22%,5,16,0
"01.11.2022, 18:45",Barkom Każany Lwów,PGE Skra Bełchatów,3,2,66.0,20.0,23.0,102.0,18,6.0,-9%,87.0,6.0,52%,24%,110,6.0,13.0,52.0,47%,30%,8.0,3,82,28,36,110,23,6,-13%,84,6,44%,14%,114,9,8,63,55%,40%,13,3,0
"01.11.2022, 16:30",Ślepsk Malow Suwałki,Cuprum Lubin,3,1,73.0,31.0,31.0,89.0,16,7.0,-5%,75.0,7.0,56%,24%,106,7.0,12.0,53.0,50%,32%,13.0,6,60,22,25,87,12,7,-3%,73,7,49%,12%,99,3,13,41,41%,25%,12,2,0
"07.11.2022, 20:30",GKS Katowice,Cuprum Lubin,3,0,50.0,23.0,30.0,73.0,13,2.0,-6%,36.0,2.0,47%,16%,68,3.0,2.0,38.0,55%,48%,10.0,5,35,6,-1,54,18,2,-27%,60,2,46%,23%,79,6,10,31,39%,18%,2,3,0
"04.11.2022, 20:30",PGE Skra Bełchatów,Ślepsk Malow Suwałki,0,3,47.0,15.0,12.0,65.0,13,7.0,-4%,64.0,13.0,39%,15%,68,2.0,7.0,39.0,57%,44%,1.0,4,59,26,38,74,10,13,6%,52,7,42%,21%,62,3,1,39,62%,56%,7,2,1
"05.11.2022, 20:30",Czarni Radom,Barkom Każany Lwów,0,3,34.0,15.0,-4.0,58.0,9,2.0,-5%,61.0,8.0,27%,14%,86,9.0,12.0,28.0,32%,8%,4.0,8,56,28,30,74,13,8,2%,49,2,30%,14%,74,7,4,36,48%,33%,12,5,1
"06.11.2022, 14:45",ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,3,1,62.0,20.0,26.0,95.0,14,2.0,-9%,70.0,6.0,45%,28%,99,8.0,8.0,49.0,49%,33%,11.0,18,71,19,29,94,24,6,-18%,81,2,46%,27%,120,5,11,57,47%,34%,8,10,0
"05.11.2022, 14:45",Jastrzębski Węgiel,Asseco Resovia,3,0,55.0,20.0,24.0,75.0,17,8.0,-9%,57.0,4.0,24%,14%,73,2.0,8.0,40.0,54%,41%,7.0,5,52,21,17,73,16,4,-10%,58,8,31%,15%,67,4,7,40,59%,43%,8,6,0
"07.11.2022, 17:30",AZS Olsztyn,Trefl Gdańsk,0,3,30.0,11.0,-3.0,57.0,12,1.0,-12%,57.0,6.0,33%,15%,68,6.0,9.0,26.0,38%,16%,3.0,7,55,29,29,75,18,6,-10%,44,1,34%,18%,71,4,3,40,56%,46%,9,13,1
"06.11.2022, 17:30",LUK  Lublin,Stal Nysa,3,1,75.0,30.0,31.0,97.0,20,8.0,-9%,81.0,7.0,41%,22%,107,9.0,8.0,56.0,52%,36%,11.0,7,63,24,24,95,14,7,-5%,77,8,36%,24%,99,6,11,48,48%,31%,8,8,0
"06.11.2022, 20:30",Warta Zawiercie,BBTS Bielsko-Biała,3,0,51.0,19.0,27.0,73.0,10,8.0,-1%,50.0,3.0,56%,26%,77,5.0,6.0,39.0,50%,36%,4.0,11,46,12,13,64,13,3,-12%,63,8,34%,15%,76,8,4,37,48%,32%,6,11,0
"14.11.2022, 20:30",BBTS Bielsko-Biała,GKS Katowice,1,3,61.0,15.0,19.0,88.0,22,6.0,-17%,76.0,7.0,52%,21%,91,3.0,10.0,49.0,53%,39%,6.0,4,70,23,36,94,18,7,-10%,66,6,51%,12%,81,4,6,53,65%,53%,10,4,1
"13.11.2022, 20:30",Stal Nysa,Warta Zawiercie,0,3,41.0,5.0,11.0,54.0,13,1.0,-20%,65.0,11.0,32%,6%,63,2.0,4.0,32.0,50%,41%,8.0,1,58,24,38,73,8,11,6%,41,1,46%,12%,61,3,8,43,70%,52%,4,8,1
"11.11.2022, 17:30",Trefl Gdańsk,LUK  Lublin,3,0,53.0,24.0,34.0,72.0,9,8.0,4%,46.0,2.0,47%,17%,67,3.0,5.0,37.0,55%,43%,8.0,8,40,11,6,56,10,2,-10%,63,8,50%,19%,76,8,8,33,43%,22%,5,6,0
"12.11.2022, 14:45",Asseco Resovia,AZS Olsztyn,3,1,66.0,30.0,26.0,98.0,19,8.0,-3%,72.0,13.0,34%,16%,89,6.0,2.0,46.0,51%,42%,12.0,10,65,23,15,93,21,13,-4%,79,8,32%,10%,102,9,12,50,49%,28%,2,10,0
"12.11.2022, 17:30",Projekt Warszawa,Jastrzębski Węgiel,1,3,56.0,12.0,12.0,74.0,19,7.0,-5%,86.0,6.0,46%,24%,110,9.0,10.0,48.0,43%,26%,1.0,7,69,33,45,96,10,6,-1%,55,7,40%,16%,86,6,1,53,61%,53%,10,21,1
"13.11.2022, 14:45",Barkom Każany Lwów,ZAKSA Kędzierzyn-Koźle,2,3,75.0,24.0,31.0,102.0,19,9.0,-5%,93.0,5.0,46%,18%,127,7.0,13.0,57.0,44%,29%,9.0,4,81,33,40,110,17,5,-9%,83,9,42%,19%,122,6,9,63,51%,39%,13,1,1
"10.11.2022, 20:30",Ślepsk Malow Suwałki,Czarni Radom,3,2,85.0,25.0,44.0,120.0,16,7.0,-5%,98.0,1.0,54%,32%,136,8.0,16.0,69.0,50%,33%,9.0,9,86,19,38,117,19,1,-12%,104,7,43%,21%,136,13,9,69,50%,34%,16,8,0
"13.11.2022, 17:30",Cuprum Lubin,PGE Skra Bełchatów,3,2,79.0,28.0,27.0,111.0,28,7.0,-14%,81.0,3.0,53%,23%,126,6.0,15.0,61.0,48%,31%,11.0,15,68,22,20,103,22,3,-16%,83,7,30%,8%,111,8,11,50,45%,27%,15,18,0
"19.11.2022, 20:30",GKS Katowice,PGE Skra Bełchatów,0,3,50.0,15.0,23.0,66.0,10,1.0,-9%,64.0,8.0,39%,15%,87,4.0,5.0,43.0,49%,39%,6.0,10,58,23,37,74,10,8,2%,56,1,44%,21%,92,4,6,45,48%,38%,5,14,1
"20.11.2022, 17:30",Czarni Radom,Cuprum Lubin,0,3,40.0,14.0,5.0,59.0,10,2.0,-8%,62.0,8.0,32%,16%,70,9.0,8.0,32.0,45%,21%,6.0,8,55,25,30,74,12,8,0%,49,2,53%,26%,73,5,6,39,53%,38%,8,10,1
"19.11.2022, 17:30",ZAKSA Kędzierzyn-Koźle,Ślepsk Malow Suwałki,3,0,60.0,15.0,40.0,74.0,9,2.0,-6%,58.0,3.0,48%,25%,83,5.0,3.0,48.0,57%,48%,10.0,6,53,10,25,69,11,3,-7%,65,2,55%,15%,94,5,10,47,50%,34%,3,5,0
"20.11.2022, 20:30",Jastrzębski Węgiel,Barkom Każany Lwów,3,0,62.0,33.0,38.0,78.0,10,6.0,0%,50.0,2.0,46%,20%,79,5.0,7.0,48.0,60%,45%,8.0,10,47,15,17,64,14,2,-15%,68,6,44%,19%,81,2,8,38,46%,34%,7,4,0
"20.11.2022, 14:45",AZS Olsztyn,Projekt Warszawa,0,3,45.0,15.0,15.0,65.0,11,6.0,-6%,60.0,5.0,33%,20%,80,3.0,11.0,36.0,45%,27%,3.0,9,60,25,33,74,14,5,-5%,54,6,46%,29%,77,4,3,44,57%,48%,11,3,1
"18.11.2022, 17:30",LUK  Lublin,Asseco Resovia,0,3,38.0,5.0,7.0,58.0,13,3.0,-15%,61.0,4.0,59%,19%,77,7.0,7.0,33.0,42%,24%,2.0,5,55,23,32,74,13,4,-10%,45,3,44%,15%,69,5,2,44,63%,53%,7,9,1
"19.11.2022, 14:45",Warta Zawiercie,Trefl Gdańsk,3,0,51.0,19.0,25.0,76.0,15,5.0,-7%,50.0,0.0,46%,10%,90,5.0,6.0,44.0,48%,36%,2.0,15,46,11,15,70,20,0,-22%,61,5,45%,18%,77,4,2,40,51%,44%,6,11,0
"18.11.2022, 20:30",Stal Nysa,BBTS Bielsko-Biała,3,0,58.0,23.0,33.0,73.0,20,3.0,-16%,43.0,2.0,39%,16%,67,0.0,3.0,49.0,73%,68%,6.0,9,32,6,9,55,12,2,-18%,53,3,37%,13%,54,2,6,27,50%,35%,3,1,0
"22.11.2022, 18:30",Stal Nysa,GKS Katowice,2,3,81.0,30.0,34.0,107.0,20,10.0,-7%,88.0,6.0,44%,20%,121,9.0,12.0,57.0,47%,29%,14.0,6,76,26,29,105,17,6,-7%,87,10,35%,14%,117,6,14,58,49%,32%,12,10,1
"22.11.2022, 16:15",Trefl Gdańsk,BBTS Bielsko-Biała,3,0,47.0,18.0,23.0,73.0,12,3.0,-9%,49.0,3.0,55%,24%,74,3.0,6.0,38.0,51%,39%,6.0,6,45,12,11,63,14,3,-12%,61,3,39%,14%,82,11,6,36,43%,23%,6,8,0
"22.11.2022, 21:00",Asseco Resovia,Warta Zawiercie,1,3,70.0,20.0,26.0,95.0,24,5.0,-15%,89.0,6.0,34%,12%,108,6.0,8.0,54.0,50%,37%,11.0,10,72,27,33,104,15,6,0%,71,5,43%,18%,107,8,11,58,54%,36%,8,17,1
"23.11.2022, 21:00",Projekt Warszawa,LUK  Lublin,1,3,66.0,23.0,17.0,88.0,21,4.0,-15%,87.0,4.0,56%,29%,125,10.0,14.0,54.0,43%,24%,8.0,22,65,28,38,97,10,4,-1%,67,4,52%,23%,103,5,8,47,45%,33%,14,12,1
"24.11.2022, 18:30",Barkom Każany Lwów,AZS Olsztyn,2,3,76.0,21.0,28.0,108.0,19,2.0,-12%,93.0,3.0,48%,32%,133,14.0,12.0,62.0,46%,27%,12.0,6,80,22,40,113,20,3,-12%,89,2,39%,22%,125,6,12,65,52%,37%,12,3,1
"24.11.2022, 16:15",Ślepsk Malow Suwałki,Jastrzębski Węgiel,0,3,42.0,12.0,11.0,66.0,9,4.0,-7%,60.0,7.0,50%,28%,65,6.0,9.0,36.0,55%,32%,2.0,3,61,23,34,75,15,7,-8%,57,4,63%,31%,73,6,2,45,61%,50%,9,5,1
"23.11.2022, 18:30",Cuprum Lubin,ZAKSA Kędzierzyn-Koźle,0,3,35.0,8.0,-10.0,51.0,20,3.0,-27%,63.0,3.0,55%,34%,88,6.0,16.0,28.0,31%,6%,4.0,6,48,28,28,73,10,3,-8%,31,3,35%,19%,53,3,4,29,54%,41%,16,11,1
